# command:
# git-check-rebase --meta rebase_5.14.0-70.22.1.el9_5.14.0-162.6.1.el9.meta --rows-hide-level show_all --columns full rhel9:rh9-5.14.0-70.22.1.el9..rh9-5.14.0-70.22.1.vz9.17.12 rhel9.1:rh9-5.14.0-162.6.1.el9..rh9-5.14.0-162.6.1.vz9.18.1 > rebase_5.14.0-70.22.1.el9_5.14.0-162.6.1.el9.log
#

<tag>  rhel9         rhel9.1       SUBJECT
match  bf83733a94bc  fadb05a8ec16  ve: Virtualize sysinfo
match  cb9de68b6179  5f8822361c20  ve/module: hide module refcounts from container
match  81142020f249  dab62054e6f1  ve/kernfs: export kernfs_perms_set() helper
match  fbd88daa19aa  3ad067549786  ve/sysfs: generic sysfs_set_def_perms() helper introduced
match  70ec52c1e009  5bd56d8d64be  ve/module: export sysfs dentries in containers
ok     dfaaae243a1f  2e365f4fbe5d  ve/net: allow to rename devices in non-ve namespaces
match  57985a971b42  cddabaca3a98  ve/prctl_set_mm: allow setting exe link while unprivileged for spfs
match  8fb2db756362  d37271d3268c  ve/coredump: virtualize kernel.core_pattern sysctl
ok     c06b99c49fb5  9b225371009a  ext4: Teach the fs where the balloon inode is
match  5bbc4f6b5136  26b802e55eb8  ve/fs: Allow to mount ext4 in top CT userns
match  1778c43dc130  b86db484c78d  ext4: Teach statfs to report reduced disk usage
match  410be698f3e9  cb3509ca25ea  ext4: Don't show the active balloon to user
match  d004ec954f81  22fd63dba60e  fs: Revert ee1904ba44bd "make alloc_file() static"
match  93ea4937d6cc  33bce3a4add3  ext4: Provide a balloon nipple for management
match  bb76edf13922  9c36ec196583  kernel/stat: Introduce kernel_cpustat operation wrappers
match  a45e5bfbcf6a  0f84537b267d  ve/sched/stat: Add basic infrastructure for vcpu statistics
match  7f45cb593658  363fb38f23a4  ve: uninline ve_get_monotonic() and ve_get_uptime()
ok     7db1104f4e5b  0e8c332e2e2c  ve/sched/stat: Introduce functions to calculate vcpustat data
match  0d5410bd90fa  6ac212c9d0ae  ve/proc/stat: Wire virtualized /proc/stat handler
match  ae06fa83d05a  5405e46c38c2  sched: Fix task_group "iowait_sum" statistic accounting
match  cefe6a42e919  77e67b38f238  sched/stat: account ctxsw per task group
match  aa18456d70b1  fdd76c516bac  ve/sched/stat: Introduce handler for getting CT cpu statistics
match  d62569c9e614  c6c4e7d201b4  ve/time/stat: idle time virtualization in /proc/loadavg
match  fbfd3214a494  b3a65165c669  ve/proc/stat: Introduce CPUTIME_USED field in cpustat statistic
match  fff9444ff8a3  b9eaf291db3c  ve/vestat: Introduce /proc/vz/vestat
match  30969885752b  fce885e1fe7c  sched/stat: account forks per task group
match  5936dfdb14b8  276bf6f7f4c6  ve/proc/net/nr_cpus: Cut lines in /proc/net/softnet_stat to number of vcpus in CT
match  a93e5b952df5  fd7fd32afe9c  sched: Count loadavg under rq::lock in calc_load_nohz_start()
match  2c644ae69fdc  5b13616f33e1  sched/ve: Do not show loadavg in child VE cpu cgroups
match  0f14ce0996d5  780b8f792ff2  sched: show CPU stats for a cgroup in cpu.proc.stat file
ok     12d09ff9ef83  f27bc14c0cca  arch/x86: introduce cpuid override
ok     0106a3410c41  6ee25ea68474  x86: make ARCH_[SET|GET]_CPUID friends with /proc/vz/cpuid_override
match  472c1914c9d4  24718a991023  x86: Show vcpu cpuflags in cpuinfo
match  aaec174c7701  f8fa65409fff  x86, cpuinfo: Fix race on parallel /proc/cpuinfo read #PSBM-121823
match  c120c53b37ba  64ecaf6252d2  x86: don't enable cpuid faults if /proc/vz/cpuid_override unused #PSBM-121823
match  397f5882bee1  9b406f6893cd  ve/net/core: allow to call setsockopt(SO_SNDBUFFORCE) from Containers
match  5010e98b60fb  10890529d706  ve/net/core: allow to call setsockopt(SO_RCVBUFFORCE) from Containers
match  908528718390  246d5ee9d347  vecalls: Introduce VZCTL_GET_CPU_STAT ioctl
match  9460f70c3791  239222de2d80  ve: allow writing to features in pseudosuper state
match  baba7c1bad70  9a5e40127309  ve/fs/aio: aio_nr & aio_max_nr variables virtualization
match  cc7383d61a7e  b31fc79911f2  ve/aio: Add a handle to checkpoint/restore AIO context
match  9a9567358f27  c7b171600a1a  ms/cgroup: let a symlink too be created with a cftype file
match  ef4f1754044c  46d1cbdd8e02  ms/block, bfq: add weight symlink to the bfq.weight cgroup parameter
match  466d76ff4a6d  3438ca064db3  netlink: allow to set peeking offset for sockets
match  c6757cac44ff  9487d260ecc5  netlink: add an ability to restore messages in a receive queue
match  5ec0c887ebd8  0dd5186210f1  netlink: add an option to set sk->err from userspace
match  f30595126d4f  deb27eb70c84  ve/fs/namespace: allow submounts in non-init userns
match  99a4a8ba611f  427bae90e302  Kconfig.openvz: force CGROUP_PERF if compiling VZ Containers code
match  af05e539b7a7  eabbb9543f83  ext4: don't iterate over sbi->s_es_list more than the number of elements
match  c07f528ae914  d43934615a62  ve/ext3: treat panic_on_errors as remount-ro_on_errors in CTs
match  1b8accf54aac  562420c5f396  ext4: Fix error handling after filesystem abort
match  710847b03e01  6e286c3beb9e  jbd2: make shure that we do not miss aborted state
match  5a30d5d76c46  c178161e1470  ext4: make data=writeback mode safe
match  3fda79931e3d  e5541f2f5225  jbd2: raid amnesia protection for the journal
match  32a27e448c9c  38ad26976d0a  ext4: add mfsync support
match  33e44f6fcb8d  ae4f244488aa  ms/Revert "ext4: simplify kobject usage"
ok     23089834cd32  0e08a0e3791c  ext4: add generic uevent infrastructure
match  31b1214a6f1f  d992e5901496  ext4: send abort uevent on ext4 journal abort
ok     beebf51198c7  c25c66e17e15  fs: Make ext4_event_type more generic
ok     10d9709b28b9  71cb1eb94b0b  fs: Introduce fs_events_wq to use instead ext4's rsv_conversion_wq
match  202887f64508  a92e278008db  fs: add kobj into fs_uevent
match  b275682df428  47010103b0bc  ext4: Kill ext4_uuid_valid()
match  9b301a74fdea  220a280a1ed5  ext4: Simplify UUID dereference in ext4_send_uevent_work()
match  225b3e4eb0e6  ff350e3e4774  fs: Move and make generic ext4_send_uevent_work()
match  8dbfe7b76ae4  b980c4736f3a  fs: Move s_err_event_sent() and s_abrt_event_sent() to super_block
match  cf7bea929c40  33b94430a6bc  xfs: Zero uuid if it's not valid
match  1a740a254ae3  d042dbbc8652  xfs: Introduce xfs_send_uevent()
match  464853906345  1bb66bd81f12  xfs: Notify userspace about events
match  f4a40c307211  2c26336ce409  ve/net/ipv6 tunnels: Enable GRE netdevice register inside container
match  3a96f5d4bd56  ff41bf01d4ca  ve/net/sit: Enable SIT devices in Containers
match  927d80bac25a  c29f5c8e273c  ve/fs: Export fs.aio-max-nr via ve cgroup
match  839befcf7782  1074f6084da6  ms/fs: Revert "Make super_blocks and sb_lock static"
match  7238a2365fb3  5213a1d9ad02  fs: Lower ioprio in case of ioprio_set() called from CT
match  85b29ba37989  1cee08adf082  ve/fs/ioprio: Confine ioprio_{set, get}(IOPRIO_WHO_USER) to current ve
match  7645113f24ed  1ca69c6dcfda  ve/fs: namespace -- Ignore device permissions during restore
match  a25a801e14b2  4239089b5744  ve/fs: namespace -- Don't fail on permissions if @ve->devmnt_list is empty
match  60fc75473b01  ea6282bafae8  fs: FIEMAP should sync only required range with FIEMAP_FLAG_SYNC
match  c0d0d5bc78ea  658586de2f7b  ve/fs: Allow mount fs in init userns if it's mounted in another userns
match  ffa33628d3d0  41e62f7e06e6  ve/fs/files: Add new argument to expand_files()
match  958f96878c87  305a73c8a923  ve/fs/files: Add fdtable_align() helper
match  ea8021810cd6  5c404d7f842f  ve/fs/files: Shrink big fdtable on close in is_pseudosuper mode
match  5e7e3da0847b  1a46f8a3f31c  pidns: add proc mount option 'hidepidns=0|1'
match  1cd029f27473  73e50e3d5426  x86/cpuid_fault: Increase max count of cpuid overrides
match  7c35fea8b1ce  33242877943c  x86/cpuid_fault: Log table updates
match  9ce0daa8efcf  c306c848a6f9  drivers/bnx2x: Limit setting of the max mtu
match  48d0abb6c25a  1bed48c5da50  drivers/igb: increase link detection timeout up to 5 sec
ok     92161bdf5496  ca2756671f24  ve/cgroup: Hide ve cgroup in Containers
match  939ee2b74e5c  271e738844ed  net/teql: disable "True" (or "trivial") link equalizer inside a CT
match  06faa6dd6533  834f9fc00008  connector: store all private data on VE structure
match  3067213c2213  5f264b74f0e7  connector: introduce VE-aware get_cdev() helper
match  f036526875a5  cd3d25f46eb4  connector: per-ve init and fini helpers introduced
match  75276052b25b  9eb519d22dad  connector: use device stored in VE
match  5ac3352099f1  c94c2a0fd560  connector: per-ve helpers intoruduced
match  8f2528135635  e8d33b5e0e24  connector: take cn_already_initialized from VE
match  03228171cf03  ff04fa333f5b  proc connector: generic proc_event_connector() helper introduced
match  7bb3ea0cdc7c  bcfe9da0d2b9  proc connector: use generic event helper for fork event
match  bd03bb5101ab  a34cda1bc33c  proc connector: use generic event helper for exec event
match  630c9c7f2803  6089cf0cd0c6  proc connector: use generic event helper for id event
match  90dab1f71698  c76d091090fa  proc connector: use generic event helper for sid event
match  fa08ca8ddd22  c8f45fbc009b  proc connector: use generic event helper for ptrace event
match  682b877ad93b  ad0db758fca1  proc connector: use generic event helper for comm event
match  83e5cd21f311  f81398f84225  proc connector: use generic event helper for coredump event
match  339c622ddd9d  6944d66b9204  proc connector: use generic event helper for exit event
match  b54c7e7cb1dc  4d0c6f2ce6e4  proc connector: add pid namespace awareness
match  e49b14ccafec  b2450780c113  proc connector: add per-ve init and fini foutines
match  3d622fd0cbde  cec5c35d1b9e  proc connector: call proc-related init and fini routines explicitly
match  afdd5ee02d3b  f9468f5a837a  proc connector: take number of listeners and per-cpu conters from VE
match  23a6805e2b2e  af306f519c0b  proc connector: pass VE to event fillers
match  2b8f9119bd12  1f5e9451bc29  proc connector: take namespaces from VE
match  85271c87efd7  0a0c3354a0a9  proc connector: use per-ve netlink sender helper
match  f4359b545dc7  a0cf46adcfed  proc connector: send events to both VEs if not in VE#0
ok     fe576fbcfaff  eb151e744e5a  connector: containerize "connector" proc entry
                                      (functions rename)
match  1803219ceaaa  8a47a95f50c8  connector: take VE from socket upon callback
match  aea98acc40ed  48167b6da200  connector: add VE SS hook
match  63b95a3e09b1  7c9b67212410  ve/kbd: add file kbd_bind in sysfs, which allow unbind keyboard from tty (v2)
ok     2f135cca2d42  610870a91491  ve/tty: Provide interface for current tty inheritance
match  6704404fd25c  7f36852115ca  ve/tty: TIOSAK Secure Attention Key ioctl
match  d198fc210d10  b8127a6961b8  ve/tty: vt -- Implement per VE support for console and terminals
match  610ded3e07e5  2b3f1b9107f2  ve/vtty: Don't zap termios fields on slave peer
match  1d03a700e063  084737465cd7  ve/vtty: Make indices to match pcs6 scheme
match  26f85224bedb  2458dd9881d9  ve/vtty: Don't close unread master peer if slave is nonzero
match  4a7d5a6f9dbd  d9fe36262e72  ve/vtty: Don't free console mapping until no clients left
match  6cfed513c3ae  8bad557cfee2  vtty: update termios settings and fix hung
match  6faa47a32e8d  a755eb5c283c  ve/sysctl/kmod: Introduce tweak to allow indirect modules load from CT
match  4c35831aad85  79c1cb673987  ve/kmod/whitelist: Infrustructure for list of modules to autoload from CT
match  765c2ee55d4d  e0992864bd63  ve/kmod: Honor modprobe blacklist on indirect modules autoload from CT
match  faec3e40acd3  c2e03eea1769  ve/kmod/whitelist: Allow iptables/netfilter modules for autoload from CT
match  8ee593d975d1  4c7a7945c261  ve/kmod/whitelist: List of allowed to autoload in CT modules (non-netfilters)
match  80d84d501ea7  07df3e626c0c  ve/kmod/whitelist: Add modules to whitelist for c/r sake
match  b943c948ea16  1989e9426f14  ve/kmod/whitelist: Allow dummy module autoloading
match  fe0cdd4f3098  377d7ee257ff  ve/kmod/whitelist: Enable vxlan module autoload from inside a Container
match  4654042dbb3f  2d579468e79e  ve/kmod/whitelist: Allow IPVS modules autoload in CT
match  5593deba837c  db58e96d3465  ve/kmod/whitelist: Allow netfilter/ipset modules autoload from inside a CT
match  e7ed73870a35  c59cc5511530  ve/kmod/whitelist: Allow ip6tables_raw modules autoload upon request from CT
match  aac9913fada9  e7959b3ee10a  ve/kmod/whitelist: Allow NFS modules autoload in Containers
match  15dc70f65165  43091dcd8afc  ve/kmod/whitelist: Allow nfnetlink_queue module autoload from CT
match  a30f2bb35015  0ed3ea12ac2b  ve/kmod/whitelist: Allow conntrack nft-helper-* modules autoloading
match  58ebdd9355b3  e43da57b053e  ve/kmod/whitelist: Allow ts_kmp module autoloading
match  88b60dd7b884  326b6df5fc8c  ve/kmod/whitelist: Allow nf_tables module autoloading on request from CT
match  8a5547f32704  1187b1a455a6  ve/kmod/whitelist: Allow "nft_compat" module autoload from inside a Container
match  b9e91fe8ee8b  8ef8f3d4b3eb  ve/kmod/whitelist: Enable autoload for iptables security tables from inside CT
match  45a541431f2b  a577feccda76  ve/kmod/whitelist: make nfnetlink_log autoloadable upon request from a CT
match  587893af5ed2  0649c067db44  ve/kmod/whitelist: Make fib modules autoloadable from CT
ok     450407a53c6a  efb630825ac5  ve/devtmpfs: lightweight virtualization
match  8c5f986e320b  19d437357d59  ve/memcg: Virtualize /proc/vmstat view inside CT
match  ec66d4d2ce88  7a0654b44dc9  ve: prohibit opening proc/self/exe from VE for VD_VE_ENTER_TASK
match  842f690e8ee1  f2fb7b9f59ac  ve/sysfs: relax sanity check for ns equality in kernfs_find_ns()
match  b7abb5149260  60d984d0d4d9  shmem/ve: virtualize tmpfs default size
match  2a68fb2b0d0e  55c6a71caab3  ms/sock: allow reading and changing sk_userlocks with setsockopt
match  97e27b3f64e6  0f84a7e7238e  net: openvswitch: add capability to specify ifindex of new links
match  d2eb41e39203  4759671566d2  openvswitch: allow to create ovs bridges inside Containers
match  a228c00d2bfc  fc0e1b1438a8  ve/bridge: handle netlink messages AF_BRIDGE / RTM_[GSD]ETLINK sent from inside a Container
match  bb69ebfc017b  53afe1aeddc1  scsi: ratelimit messages about rejected I/O
ok     7285031e4b11  beed5ad94019  ve/proc/block: show /proc/diskstats inside a Container
match  e85fd50212b6  7efce75d3935  shm: skip shm_destroy if task IPC namespace was changed
match  d37a7346a943  a876c4de8fb0  ve: add get_curr_ve helper
match  4921f09fe395  e67f2bd76d93  ve: get_curr_ve: first try getting ve with rcu lock
match  81717076ea52  3833c9fffa53  cgroup/net_prio: virtualize ifpriomap per-ve
match  ca709d118063  30f9e3b95d59  ve/fs/inotify: do not impose limit on the number of instances by default
match  df81c44ad896  bd8c8e656631  ve/cgroup: Skip non-virtualized roots in cgroup_{,un}mark_ve_roots()
match  959f1fdb9c3a  922d76463e8d  ve/cgroup: Add ve_owner field to cgroup
match  bfe45063c917  21b05ba8cb8c  cgroup: split cgroup_get_ve_root1 into css and cgroup version
match  987cde3e8e10  d3716f39a8da  ve: use rcu_dereference for ve_ns in ve_get_init_css
match  b8787742abd4  496e3603f26c  ve/cgroup: temporary ignore misc cgroup to let vzctl start container
match  aa58240dc505  e9c4b813faf9  sched/ve: calc_load_ve -- use raw spinlock
match  a985269e7d71  fd8ac9e3e360  x86/cpu: init_cpu_flags -- use raw spinlock
match  5a36246bad5c  da51211114c6  kernel/cgroup: implement cgroup_get_e_ve_css
ok     cb452dc5eda3  408ec22a0a9a  mm/backing-dev: associate writeback with correct blkcg
match  c9cc1783ff71  293899c24194  ploop: Introduce option "off=" to cut beginning of device
ok     63ccf2db80b3  9889f2d713fa  core: Add glob_kstat, percpu kstat and account mm stat
match  fad7291a04cb  cdde5e2c2b4b  ve/page_alloc, kstat: account allocation latencies per-task and per-thread
match  e5436f80c5fc  61f46ebf0498  /proc/<pid>/vz_latency: Show maximal allocation latency in the last 2min.
ok     43b0e7733dab  ddbd6e110a47  /proc/<pid>/vz_latency: Add scheduling stats
match  39946d21bfd7  51a4cde284c7  /proc/vz/latency: distinguish atomic allocations in irq from in task atomics.
match  71c0b79fc8b6  64a0d0e8405d  /proc/vz/latency: Show max latency in 2 min instead of 5sec.
match  20ac9c78cc18  48d17f275f59  mm/page_alloc: add latency to the page_alloc tracepoint
match  08c1da4f6bbd  2b6eb3d4e022  fence-watchdog: Print alive messages
match  d989c77ad8b6  584d1e37995e  ve/device_cgroup: Introduce "devices.extra_list" cgroup file
match  cd489ed07d85  9856492ebb4b  ve/device_cgroup: Show all devices allowed in ct to fool docker
match  97e9a1f97680  14ed098dd622  net: export net/core/somaxconn sysctl for unprivileged users
match  e0325409f524  a9fdfecc8efe  xfs: Allow to mount XFS in non-init userns
match  09693993ae9b  651f21a457f1  ve/netfilter: Send iptables/netfilter kernel error messages to Containers
ok     866142d7bf9a  81ce7c72793f  ve/netfilter: Implement pernet expect_max / virtualize "net.netfilter.nf_conntrack_expect_max" sysctl
ok     869e24e64f60  a7b9d82e6cbf  ve/netfilter: Implement pernet net->ct.max / virtualize "nf_conntrack_max" sysctl
match  a764015bef7c  5de817be0636  ve/netfilter: Check for permittions while looking for target and match
ok     9027b87bea62  3298da5c3bdf  net: Primitives to enable conntrack allocation
ok     8e01837aa147  5d21f0575c60  net: Mark conntrack users in xtables
match  207935b73c9a  6e503933279f  net: Mark conntrack users in nftables
match  d25b7d3d220d  95501f9c5617  net: export "net/*/neigh/*/*" sysctls for Container
match  2a2176bf3f4e  b6b9bd964364  ve/mount: allow pseudosuper to temporary exceed the container limit
match  afa6b30b5bb8  d9b4c64400a2  ve/net/neighbour: per-ct limit for neighbour entries
match  528a2da4c000  3fbd6885723a  net/skbuff: Don't waste memory reserves
match  cdde4b319939  b6b2ceee418e  net/skbuff: WARN if kmalloc_reserve() fails to allocate memory.
ok     2b343a677625  928bc7fb342c  kvm/x86: add log printing on emulation failure
ok     3c6d55265864  887f9a3201b3  kvm/x86: extend info on emualation failure
match  305798b30933  b322cee01e41  kvm: move VMs which we skip during shrink to vm_list tail
match  63cf6bf6160d  7c0c695cf132  kvm: move actual VM memory shrink out of kvm_lock
match  b57c1e689822  3016727d9ff1  net/gre: Consider VE_FEATURE_IPGRE on new net creation
match  b63ddeb4556c  787a5837f102  net/ip6ip: Consider VE_FEATURE_IPIP on new net creation
match  8a13259acaa3  d177f5fcec41  fs: Export symbols replace_fd() and create_pipe_files()
match  cabd25251d5d  0ee2872ff602  ve/meminfo: show "MemAvailable: ..." line in CT's meminfo
match  1f92a43c5f08  15cdc03b5ace  ve/memcg: Account some swapped memory as used in CT in /proc/meminfo
match  b78a3b0ce874  8c5a8a0a3077  commoncap: relax setxattr and removxattr checks
match  a5033b6ede61  d82cccbcc88b  DMA-API: exceeded 7 overlapping mappings of cacheline share
match  1c9e432dbc69  bf1c92327d6c  pid_ns: Virtualize pid_max
match  77eed960b9d9  1814e9d391ea  ve/pid: Export kernel.pid_max via ve cgroup
match  7b5c61cc6345  4e595d7ce3ab  mm: Add and use batched version of __tlb_remove_table()
match  9ad89bb172f0  1ad5a851ca76  mempolicy: prohibit all NUMA API syscalls in VE
match  68bbc5988fd3  4c790d4081fc  fs/super: don't destroy super_block in case of leaked inodes
match  3c24af6c156f  42e8406a7854  ve/cpu: handle sysfs attributes for CTs
match  5dd295be6356  140acefa68a1  mm/vmscan: add cond_resched() to loop in shrink_slab_memcg()
ok     717a89b9b1bf  9f3f3978a1e7  mm: fix hanging shrinker management on long do_shrink_slab
match  3870d9e55b18  b411e222a1a5  ve/capability: introduce capable() wrapper which honors CT features
match  ce9ae33b0b82  b9948cbf4a6e  ve/time: introduce CT feature to allow setting date/time
match  eede6b07245f  ec9226104fdb  ve/time/ntp: allow CT ntp adjustment time tuning under VE_FEATURE_TIME feature
match  c5f518bfc62f  948313bbd2a5  scsi: aacraid: resurrect correct arc ctrl checks for Series-6
match  4ed44c882cb7  ffc49f5c8a27  mnt_ns: introduce global list of mount namespaces for debug
match  3dcb899937fc  71286a617700  cgroup/cfs: added 'activate' option to cgroup_add_file
match  53050b998859  648313d73ae9  ve/cgroup: Implement per-ve workqueue
match  1a98ef5290b1  2dc0f6655c8d  ve/cgroup: Move release_agent from system_wq to per-ve workqueues
match  39180d23dbb0  e8ad47eb6f04  ve/cgroup: Private per-cgroup-root data container
ok     adcaba7d7d05  c2cd9f424aca  ve/cgroup: Set release_agent_path for root cgroups separately
match  b2c08d3141d9  9ff355e70f8b  configs: Enable vhost_scsi module build
match  73a70c280cb7  9a71b6dbdaed  xfs: Teach the fs where the balloon inode is
match  2e0a3ec471cd  d688b1d18e63  xfs: Never show balloon in readdir results
match  5fb007c80613  39bbb13ed025  xfs: Don't show the active balloon to user
match  ffd73a89c716  567822fa4944  xfs: Provide a balloon nipple for management
match  4557ddcf4f07  f56283f2229e  binfmt_misc: fix mount after umount in CT
match  1b8674fcc970  781e4bb5dd6a  mm: tcache: handle not initialized tcache properly in tcache_shrink_count
match  64d1543fc7f3  6ba82db8803d  dm-ploop: Fix usage of bio_vec on stack
match  e28b932abd5e  fe9db3581597  ve/cgroup: hide non-virtualized cgroups in container
match  92bfeb9615d4  afe7f4649fc9  ploop: Provide more info about ENOSPC
match  9bb347e49d64  231a4a0317c2  ploop: simplify ploop_status
match  2efc240d0c98  7475cff9224b  drivers: build "isci" SAS controller driver
match  791210d324a9  23aeeb3f7597  ms/prctl: allow to setup brk for et_dyn executables
ok     7266425b3ba9  07c42402c5ea  ve/net/features: put per-ve netdev features to separate struct member
ok     90f971b2d28d  a5cb134a69a3  veth: Functionality to disable MAC changing and MAC filtering feature
ok     34f03a74c4df  72d5bacd6732  dm-tracking: Track request after it completed
match  0a3f96f917ad  dd053f1deb7b  dm-tracking: Do not return EAGAIN in case of there is no changed clu
match  6757b0ad46e9  c84cfe07e8d6  dm-ploop: Remove tracking code
match  bfe1217429ae  a2f88ab55716  ext4: Check alloc_file() results in ext4_open_balloon()
match  09e9bf649c79  144c5783874f  xfs: Check alloc_file() results in xfs_open_balloon()
match  f7dbfe588d1e  e943b4c78c2d  dm-qcow2: Do not fail .ctr in case dirty bit is set
match  e133e96890e9  c7cac5f2d10b  dm-qcow2: Do not check for dirty bit if mount is RO
match  6e6a5c737084  e7d90402215c  ms/misc/pvpanic: fix set driver data
match  3cbea9c94e30  33d4dba93920  ve: cgroup -- don't use atomic lock in the sleepable context
match  3160effae9f2  90859e5f8cbd  ms/mm, oom: pagefault_out_of_memory: don't force global OOM for dying tasks
match  16db69aae3df  cec102e8d737  ms/mm, oom: do not trigger out_of_memory from the #PF
match  72f1ac1c528c  a46fb6594b60  ms/memcg: prohibit unconditional exceeding the limit of dying tasks
match  e79daf412c7b  484bc74d9c08  ovl: replace capable by ve_capable for indexing feature
match  a0dfa6390f54  8f303ea85b6d  dm-qcow2: Extend status line - show qcow2 version and cluster size
match  3e80e0798a4e  186139c46c42  dm-ploop: Remove unused code
match  20c3af5a4be6  418eeba232da  dm-ploop: Fix obsolete comments
match  07e0c8b9ef7f  a3685fb27196  ve/netfilter: Add autoloading of sockopt modules
match  1dc879c4d369  fb9b51f28908  dm-qcow2: Return empty string instead of -ENOENT in qcow2_get_img_name()
match  0cd92518b7d4  96964159f9a5  dm-qcow2: Temporary disable dirty bit check
match  1fe9704f584c  84b895f1dfb2  ve/acct: Allow process accounting in containers
match  b00fa4c5e913  11237f44421a  configs: Enable e1000 module build
match  d9542d8bf3b4  1e38b7c0e392  ms/tracing: Don't use out-of-sync va_list in event printing
match  394c6eb14c37  4fe4ad7b6b8a  dm-ploop: Rename size_in_clus
match  a91c343139ae  b88d6eef1afa  dm-ploop: Add check to process_update_delta_index()
match  a9f3a8d6aee8  1f4bf66cc4f6  dm-qcow2: Return empty string instead of -ENOENT in qcow2_get_fd()
match  6cf5039a1084  8ec5b5910b01  dm-qcow2: Extract similar code from qcow2_get_img_name() and qcow2_get_img_fd()
match  6f8da86d05f9  10e507b0b8a2  dm_qcow2: Kill nr_images and introduce img_id instead
match  75309c513017  28d3a5845416  dm-qcow2: Make qcow2_get_img() use qcow2_ref_inc()
match  f2d155bcc13c  aa0cb530d011  dm-qcow2: Move qcow2_get_img_name() and qcow2_get_img_fd() out of mutex
match  452837465896  3cd699380c4d  dm-qcow2: Change call_rw_iter() parameter
match  327529db84e7  084895d6488c  dm-qcow2: Add fault injection
match  4fcad2bca2d7  93764101a76e  ms/xfs: fold perag loop iteration logic into helper function
match  76c5bceee418  e5dad406c054  ms/xfs: rename the next_agno perag iteration variable
match  ed7bc37deca5  332cc4e39d65  ms/xfs: terminate perag iteration reliably on agcount
match  c031f29ef87d  b63f0cc5e826  ms/xfs: fix perag reference leak on iteration race with growfs
match  c83613449b23  2991c625e22e  ve/fs: support per-CT disable of filesystem sync operations
match  b8996d8d2b19  939548626856  ve/fs: introduce is_sb_ve_accessible()
match  98bb9f536c0d  f487297fe8c9  ve/fs/sync: introduce argument struct for helper routines
match  3bcd902200d7  a7e00fa6942d  ve/fs: per-CT sync behavior management
match  db22ae0e417d  e70c682a20d8  FD: fs: per-CT sync behavior management
match  8e2d1d1c5c1d  fd1c66ffb863  rebase_logs: Add rebase logs for 4.18.0-240.1.1.el8 to 4.18.0-305.3.1.el8 rebase
match  f4a0d9360cf0  1d66e1c644e7  ms/dccp: don't duplicate ccid when cloning dccp sock
match  329ea3729c15  d139a50dd355  net: export "net/core/xfrm*" sysctls for containers
match  ac6d95ac090e  90e1585a2b4b  ms/nfsd4: add refcount for nfsd4_blocked_lock
match  09a5d8449493  59364a1bc816  ms/fuse: drop obsoleted and incorrect restriction in fuse_setlk
match  b1cf13afe6fa  e30d5fe4cf4b  ms/fuse: async processing of F_SETLK with FL_SLEEP flag
match  9828b78e2ebc  890f101ecc5c  net/drivers/slip: disable high-order allocations warnings in slip driver
match  3d81b34975b6  0861caf04e14  net: hide high-order-request warning in pskb_expand_head()
match  133ac7bc7cad  4432609ebdc9  ms/nfs4: skip locks_lock_inode_wait() in nfs4_locku_done if FL_ACCESS is set
ok     282ac4561ccf  d9bdc4e25069  fuse: Turn writeback cache on
ok     bf3d784910ec  3ad07ed4883f  fuse: direct_enable mount option
ok     325d76328689  683062459aa2  fuse: fuse-ve-odirect sysctl
match  c2de576cb33b  5d365b21ac46  fuse: Show active requests in fusectl files
match  5486b2bcef96  f54b5fb2fc0d  fuse: Show open files in fusectl
match  7a1fb2c614e7  748a1c4206c9  fuse: Fuse ctl file with connection info
match  db3f81ef435c  a74735044c94  fuse: some fairness in handling writeback
match  a3cfaa648c4d  e33b69fc6f9e  fuse: Wait for real writeback to finish on file
ok     bd5a36166e17  b9f00693820f  fuse: reimplement synchronous close
match  b52661364c85  0a1dd746ec8c  fuse: i_size to be updated on first open
match  0e6c5a3de91f  a2d4f14bf9d1  fuse: account directio requests into ioacct
match  3aa6f83aa81d  020282d0b388  fuse: optimize fuse_vma_close()
match  2163037944e0  81828b051d11  fuse: implement invalidate_files notification
match  84434ca4efe2  2457fcdc645f  fuse: cleanups in fuse writeback
match  b47f05ec6311  b0f40d1f03df  fuse: add missed fuse_file_put()
match  bce02ba90c2f  a45e8d8b28c7  fuse: do not use RELEASE on directory
match  b599801ce4b5  f2a72a1fe8e7  fuse: extend report on pstorage errors
match  e6e2f7a1d2d6  deec2a3fc9d3  fuse: print initialized flag in conn info
ok     c62171f8bfd6  25ab496788fc  fuse: make umount synchronous
ok     4ed538d5b976  adbaf12f88d5  fuse: add mount option to disable close_wait
ok     1d43828ac889  63f50df5651c  fuse: do not flush files opened ro
ok     6182a65cc4f0  1666fd28dbaa  fuse: the list of all opened files
match  937080e1cdfc  2288e7724909  fuse: add page_cache bit to fuse request
match  8dd96a3c46a9  e7450a00ba23  fuse: add "killed" bit to fuse request
match  39df095531e9  bcf0db7ee825  fuse: kill requests on "lost-lease" event
match  242a45a61c8f  16bf6518faa3  fuse: prevent queueing new requests after
match  3a6ba2624eb5  18b375ad9113  fuse: skip waiting for fuse writeback
match  66fdf78dc95f  6922d449944f  fuse: fail lost-lease notification if async_read
match  d8815e1f22be  02f71ae0aba0  fuse: report details of aio failure
