# command:
# git-check-rebase --meta rebase_4.18.0-240.1.1.el8_4.18.0-305.3.1.el8.meta --format=full rhel8.4:rh8-4.18.0-305.3.1.el8..9fdfd6a7c491 rhel8.2:rh8-4.18.0-240.1.1.el8..origin/branch-rh8-4.18.0-240.1.1.vz8.5.x-ovz-merged
#

<tag>  rhel8.4       rhel8.2       SUBJECT
drop                 2eb93a053156  ms/mm: vmscan: move file exhaustion detection to the node level
drop                 1a17bc5fa5c7  ms/mm: vmscan: detect file thrashing at the reclaim root
drop                 b84a221d496a  ms/mm: vmscan: enforce inactive:active ratio at the reclaim root
ok     6da065bafd3c  926e9662e60c  mm/vmscan: shrink tcache upfront everything else
match  f24e327467bd  c06535e0f875  mm: remove the tswap
match  e4df77dffdd3  bba78b698002  configs: drop TSWAP
drop                 842f2098a9ad  mm/vmscan.c: move check for SHRINKER_NUMA_AWARE to do_shrink_slab()
drop                 34e42e1747f7  mm: use special value SHRINKER_REGISTERING instead of list_empty() check
drop                 bddea996cf10  ms/mm: check shrinker is memcg-aware in register_shrinker_prepared()
match  f77f537db347  ca1b4d9bdbbf  ploop: Organize BAT entries into rbtree of pages
match  03024d085097  3fb201168b91  userfaultfd: selftest: recycle lock threads first
match  67ed170ad619  7780f7705449  fs/userfaultfd.c: wp: clear VM_UFFD_MISSING or VM_UFFD_WP during userfaultfd_register()
match  db909e9aa6f0  679f63ac89e1  userfaultfd: wrap the common dst_vma check into an inlined function
drop                 97078cc11671  mm/gup: rename "nonblocking" to "locked" where proper
drop                 fc3cb273b269  mm/gup: fix __get_user_pages() on fault retry of hugetlb
drop                 56278d3e3e6e  mm: introduce fault_signal_pending()
drop                 3a3ece12186a  x86/mm: use helper fault_signal_pending()
drop                 1dd3c31558b7  arm64/mm: use helper fault_signal_pending()
drop                 43c9ad7acbb9  powerpc/mm: use helper fault_signal_pending()
match  81397aa6fb5f  6685665818b7  sh/mm: use helper fault_signal_pending()
drop                 3127d4519e38  mm: return faster for non-fatal signals in user mode faults
drop                 a8daf62f1ffa  userfaultfd: don't retake mmap_sem to emulate NOPAGE
drop                 2b517ade0477  mm: introduce FAULT_FLAG_DEFAULT
drop                 0ee1b870b447  mm: introduce FAULT_FLAG_INTERRUPTIBLE
drop                 4214a77ea76f  mm: allow VM_FAULT_RETRY for multiple times
drop                 0ee34762dcb6  mm/gup: allow VM_FAULT_RETRY for multiple times
drop                 b00eba894d47  mm/gup: allow to react to fatal signals
drop                 cc05ef8ea4b8  mm/userfaultfd: honor FAULT_FLAG_KILLABLE in fault path
drop                 7f752703edea  ms/mm/gup: Let __get_user_pages_locked() return -EINTR for fatal signal
match  99910cc88650  b93bb474b6ce  userfaultfd: wp: add helper for writeprotect check
drop                 fc6fcfe03704  userfaultfd: wp: hook userfault handler to write protection fault
                                     (renamed: ms/)
drop                 854f5da58bb2  userfaultfd: wp: add WP pagetable tracking to x86
                                     (renamed: ms/)
match  a08e55837950  d5352784d5aa  userfaultfd: wp: userfaultfd_pte/huge_pmd_wp() helpers
ok     d3807639af8d  529a2716ccc5  userfaultfd: wp: add UFFDIO_COPY_MODE_WP
drop                 a4305096e746  mm: merge parameters for change_protection()
                                     (renamed: ms/)
match  71a7896173bf  5e44dc8db9f6  userfaultfd: wp: apply _PAGE_UFFD_WP bit
match  36994eeabff8  b6415f5090cf  userfaultfd: wp: drop _PAGE_UFFD_WP properly when fork
match  7a416781eca3  30e2680f2cfb  userfaultfd: wp: add pmd_swp_*uffd_wp() helpers
match  c1629f377f84  d41538658c17  userfaultfd: wp: support swap and page migration
match  e7bf4a43ab4c  eb003e571921  khugepaged: skip collapse if uffd-wp detected
match  ed91e509cd98  01dc90ac1403  userfaultfd: wp: support write protection for userfault vma range
match  85c82bfaa63a  11c197a75b00  userfaultfd: wp: add the writeprotect API to userfaultfd ioctl
match  67f8c3c84469  258c1fd37fb6  userfaultfd: wp: enabled write protection in userfaultfd API
match  1830f91654da  3ab5bad99e6b  userfaultfd: wp: don't wake up when doing write protect
match  54782789a118  95948436bdf8  userfaultfd: wp: UFFDIO_REGISTER_MODE_WP documentation update
match  bc859a49a81f  f7101585abba  userfaultfd: wp: declare _UFFDIO_WRITEPROTECT conditionally
match  000a8cc757b1  a7711977f038  userfaultfd: selftest: generalize read and poll
match  e58b19de74c1  d56579cbacd7  userfaultfd: selftests: refactor statistics
match  aad0b8191fb4  3be5417c99ca  userfaultfd: selftests: add write-protect test
match  e2667fc7a9c5  371e419c0da4  livepatch: added minimal support for failure injection
drop                 4718e241d79b  ms/mm/gup: Mark lock taken only after a successful retake
match  c85039d1292d  be8c1e489e52  ms/i40iw: remove bogus call to netdev_master_upper_dev_get
match  96604ec5b268  8f9107751f0b  mm: add warning about high order allocations
ok     85c14949930f  6f13cc05ac51  mnt: allow to add a mount into an existing group
ok     30e894480f72  77b907a646b9  ve/fs/binfmt: move all internal data to structure
ok     90fb0e27408e  e6a565bef605  ve/fs/binfmt: virtualization
                                     (breaks git-check-rebase)
match  50e13a68d9f2  f47619103eef  fs/ext4: removed FS_VIRTUALIZED flag from 'ext3' mode of ext4 module
ok     7a0c02ad8be7  e9dd4dd431c8  ve/kernfs: fix lookup for kernfs superblock
match  52890d996c05  20a6b69e3f60  kernfs/ve: ignore kernfs 've_perms_map' in cgroups.
drop                 4cf72d38e8bc  vtty: fixed error path in vtty_map_alloc
                                     (merged into ("ve/tty: vt -- Implement per VE support for console and terminals)")
drop                 330f80ac24d7  vtty: possible ERR_PTR dereferencing in vtty_open_master
                                     (initially we ported the feature then - dropped, then resurrected)
match  df7ba5864beb  add0c5f771e6  ve/binfmt_misc: destroy all nodes on ve stop
ok     b0cb3e885ea4  22cd6183010f  ext4: add mfsync support
match  19f0484bc8e5  7891f2041455  overlayfs: add dynamic path resolving in mount options
match  e4ad949da663  0c7109cc98c9  overlayfs: add mnt_id paths options
match  9acb71b16d0a  f9d8207c1cab  configs: add/enable options for overlayfs paths absolute resolution
match  018453db580c  37d8caa9ade7  ve/vfs: introduce "fs.odirect_enable" sysctl and disable it by default
ok     adb205ba51a3  0a938fdee89a  fuse: Turn writeback cache on
ok     850aa39652c1  993f7139a1f8  fuse: direct_enable mount option
ok     fefa407f8223  b8ff8e334efa  fuse: fuse-ve-odirect sysctl
match  790cf601838d  d4229a49085d  fuse: Show active requests in fusectl files
ok     1fa5d3c0a099  0f9ff985c3d1  fuse: Show open files in fusectl
match  410377548555  d206ef6544f6  fuse: Fuse ctl file with connection info
ok     71268492c765  6f6dfb15318c  fuse: some fairness in handling writeback
match  f114e08c6353  8663e92bfb18  fuse: Wait for real writeback to finish on file
ok     cd33eb3d21c1  898fd04d6c88  fuse: reimplement synchronous close
ok     340a0bf50da9  3f2f3c038b28  fuse: i_size to be updated on first open
match  1520b46daae2  9eabb2e22547  fuse: account directio requests into ioacct
match  d98e9562beb0  372e43462ede  fuse: optimize fuse_vma_close()
ok     4b82b7e3306f  c4db6df6eff1  fuse: implement invalidate_files notification
match  b43af9a94ce1  a307f75d2a82  fuse: pass "fc" to fuse_invalidate_files()
match  27a920f73abf  6a04eaf0f30f  fuse: cleanups in fuse writeback
match  3798fd8523cd  6bd280685336  fuse: add missed fuse_file_put()
match  b16b5afc2068  b55dcaab35a5  fuse: do not use RELEASE on directory
match  366a73285bc8  3b0371cd22a9  fuse: extend report on pstorage errors
match  5f0cdaef01f4  f43fb59f6114  fuse: print initialized flag in conn info
ok     994ba24b05a7  0911e7ecdf1c  fuse: make umount synchronous
ok     6ffcfb788662  6a4d845860d7  fuse: add mount option to disable close_wait
ok     637564b6d5e4  46d5f7f446c2  fuse: do not flush files opened ro
ok     2193201ab668  e5512e009a48  fuse: the list of all opened files
match  0255623be251  c10ec793a86c  fuse: add page_cache bit to fuse request
ok     00ac9d151953  b59fef65a214  fuse: add "killed" bit to fuse request
match  b6fe1368b7d3  1fad730be8bb  fuse: kill requests on "lost-lease" event
match  f808635f2b67  0cb11ecbbd02  fuse: prevent queueing new requests after
match  e0cdb09c5f90  0f7f7f1db91d  fuse: skip waiting for fuse writeback
match  a9853bd0fc96  fa70a0412df0  fuse: fail lost-lease notification if async_read
match  9bb530b56ce7  e18ba91e8912  fuse: report details of aio failure
match  ac7809b8d9db  2fcd02f48d28  fuse: fix writeback/release race
ok     02092474fecb  33ae9c341d67  fuse: invalidate_files backward compatibility mode
match  2cc513499012  25915940712a  fuse: fix deadlock in fuse_flush()
match  9df29a2f8fba  312e4ac81201  fuse: release cleanup
ok     9796700bfe1b  5ca3f9204396  fuse: enable synchronous close for both "pstorage://" and "vstorage://" fs types
match  0817c86df64f  40382243d928  fuse: fuse_send_writepage() must check FUSE_S_FAIL_IMMEDIATELY
match  f717a33d99a6  b53efa660cbf  fuse: ratelimint dio complains
ok     ccd9562a64e1  044054adddbc  fuse: trust server file size unless opened
match  a8e322afd8bf  44229c34dc68  fuse: fuse_blocked_for_wb must check rw_files
ok     50f5de860fd1  fb7ace5ae2a5  fuse: fuse_prepare_write() cannot handle page from killed request
ok     f3f447c8def4  2fed0497bd4a  fuse: separate iqueue for clones
match  c0f2a4c36da4  36527b7d1101  fuse: ioctl() to bind fuse device to input queue
ok     c910ca273f3a  eb5ab2682cd7  fuse: optimize writepages search
match  7717153e947e  e97d9580fc1e  fuse: ioctl(FIEMAP) support
match  906ce4f99aef  de79c16cdd02  fuse: skip invalidate_inode_pages2 on truncate
match  670d2a50ebe0  0ef14d68811c  fuse: fix ->end() vs ->waitq ordering
ok     462dea7b00b1  8bb8a0452b5f  fuse: add kdirect io engine v0.1
ok     3b8c6a2c8538  11f192bad040  fuse kio: minimal noop engine skeleton
ok     0ee04d491b16  a0037de3b5d6  fuse kio: Add nullio engine
ok     497c7a18a898  7750aa0b5cce  fuse kio: Add pcs engine combo v0.8
match  8ed893a0576f  805d27ef927c  fio kio: PCS unblock writepath
match  676125fb9064  0d0d8e5219b9  fuse_kio_pcs: implement truncate
ok     6d41efd0c97b  fef0fb36362a  config.OpenVZ: enable modules for in-kernel fast path for vStorage
match  3e97a0fbbe40  6b442fe05fed  fuse kio pcs: implement logging and prometheus statistics collection v2
match  862fb0723572  e7856abf0d12  fuse kio_pcs: ignore special inodes
match  af9e3c93d744  5a497b043aef  fuse pcs_kio: fix page zeroing beond EOF
match  08536533f2f7  52e8348c58e5  fuse/kio_pcs: support FUSE_FSYNC
match  998d1bcd841d  7ccaea94f72e  fuse: support FS_IOC_FIEMAP in i386 compat mode
match  7a119279b77f  9fc5dd2fc4ea  fuse/kio_pcs: adapt prometheus statistics to current vstorage state
match  62d1eb7edbe5  f46f4c853520  fuse/kio_pcs: fallocate support at low pcs protocol level
match  425811285a18  e8ae41268c00  fuse/kio_pcs: full fallocate() support
match  599b90c896eb  224cb1a670ba  fuse/kio_pcs: FIEMAP support
match  79f7eb8780fe  de4350cd1321  fuse/kio_pcs/pcs_map: fix process_flush_req lock leakage
match  ac631e8c4f08  89e6abaa8025  fuse/kio_pcs: read is broken by FIEMAP patch
match  9881d9dfda9c  4c180410d9ca  fuse: pcs_kio cancel requests after fused crash
match  97eeab7aade7  1582bbc6934e  fuse/kio_pcs: use kvmalloc for pcs_fuse_cluster allocation
match  2fc1c0087a14  ec06b1fca000  fuse: Try automatically load kio module
match  9de3f05059d0  aaa35a084400  kio: Stop always breaking connection in pcs_sockio_send() in case of EAGAIN.
match  4233388cee4d  4141b7184e94  fuse kio_pcs: ports from new user-space
match  ed1598576955  3c16da2f1894  fuse kio: Do not requeue requests when connection is dead
match  f8cb3ada3a61  ea7c46bf54c9  fuse kio: Declare pcs_sockio::parent type
match  432e0657c718  e4f72403cd2f  fuse kio: Cleanup in struct pcs_rpc
match  59c768a80d0c  2cf55b55bc2f  fs/fuse kio_pcs: remove s_subtype check
match  664e855a5023  34f883aa966a  fuse kio: Introduce fast path protocol version,
match  5d68cee2c7f5  054b3edaec20  fuse kio: cleanup in token enqueue
match  d9d2a946ab52  6a6563a3a40b  fuse kio: invalid assertion
match  df267b78b4a5  f8fd08602ec5  fuse kio: Remove useless code in pcs_cs_destroy()
match  fcfd6a46ea68  24604483472f  fuse kio: Introduce pcs_cs_list_of_cs_link()
match  24d585c71959  5bc15b8cdafd  fuse kio: Fix potential use after free
match  9ad239730e78  757f8aee25db  fuse kio: Fix possible use after free in cslist_destroy()
match  005407829af3  3b74c6a31c65  fuse kio: Introduce pcs_cs::use_count instead of ::is_probing
match  81ec668917d3  3cbf58d38a3f  fuse kio: Wait till cs is unused in pcs_csset_fini()
match  8eadfdaf0821  1c89e4366c8f  fuse kio: Change order around pcs_map_notify_addr_change()
match  e83e74bff360  6f0b6686c222  fuse kio: Fix fix deadlock during change CS address
match  f3017f8e5dbd  08e715c00b0a  fuse kio: Fix dereferencing of NULL cs in map_replicating()
match  750124c4cf57  c8f9597ba260  fs/fuse kio_pcs: some cleanup ireq_on_error_()
match  4eb1feb2cb25  3e1babb45581  fuse kio: Handle fuse_map_resolve() failure in pcs_map_queue_resolve()
match  41deef4ee2d9  dbda83dcda0a  fuse kio: Arrange rcu modifiers around accesses to pcs_cs_link::cs
match  e02cb1236dbc  2c7ddf06f3e9  fuse kio: Use dereferenced cs in cslist_destroy()
match  26924b929ab6  f4531b7c9ff8  fuse kio: infinite loop in processing congestion queue
match  8a21da9ad4f3  57e21c86ca37  fs/fuse kio_pcs: move pcs_ireq_queue_fail()
match  bad41489782f  c22265e58fdd  fs/fuse kio_pcs: handle error of submit_size_grow()
match  103a47c75ec6  0cfd4c3c59d4  fs/fuse: export fuse_release_ff() and __fuse_write_file_get()
match  109a427370fd  8ee416d985ad  fs/fuse kio_pcs: pass the file handle for FUSE_SETATTR request
match  249f1c5b2389  aa42c6081d63  fs/fuse kio_pcs: fix double unlock of m->lock in pcs_map_get_locked()
match  ae11b57dda3a  9c7599617267  fs/fuse kio_pcs: fix out of bounds roles_str[] array access
match  e24e91c4e37a  142400427919  fuse kio: Delete excess unlist in pcs_csset_fini()
match  6dc1b785880d  b80854a096b1  fuse kio: Do not NULL used pcs_cs_link::cs during connection destruction
match  31208a9aecf8  76694d009a11  fs/fuse kio_pcs: fix NULL pointer dereference in cs_keep_waiting()
match  0e6e1b7e3b47  db21a28491dd  fs/fuse: remove extra check for empty active_list
match  e66cdc437577  ed3d02338b62  fuse kio: Wait pending requests on final fput()
match  d08f0dae4bf4  da00dbb781a9  fuse kio: Place more pcs_cs_link::cs under rcu dereference
match  157b4ddace78  7d9e510a7030  fuse kio: Add comment to fuse_release()
match  be3c066e6e23  930d2f08481b  fuse kio: Add missed spin_lock into sync_timer_work()
match  3c5f7c54ff77  e2a1a3dd276e  fuse kio: Fix unbalanced queueing and dequeueing pcs_map_entry::sync_work
match  8331113ab39f  fb9d6f43c15c  fs/fuse kio_pcs: add more traces for cs requests
match  7054149f8952  70ae5a6ecf46  fuse kio: Get msg size in second argument of pcs_sockio::get_msg()
match  00139e1024e9  ca328f15e2c7  fuse kio: Skip processing of messages above PAGE_SIZE size
match  958475d277b0  bc3e8332d75b  fs/fuse kio_pcs: mapped requests have map version preinitialized
match  2b64f1c91ccd  47fd8f8d4688  fuse kio: support unix socket for local CSes
match  230b18b33ea9  44b7b2835d8f  fs/fuse kio_pcs: handle old map in pcs_cs_submit()
match  33fedfe82167  645a6e52bb08  fs/fuse kio_pcs: fix missing hbuf.uid update for ireq split case
match  2c7277d4ea8b  71c8c3d2e962  fs/fuse: set inode entry for FUSE_FLUSH request
match  8b13b0377575  4ba5f897aca1  fs/fuse kio_pcs: add handling FUSE_FLUSH in kio_pcs
match  7a9b8a30710e  1f0b50b9c03b  fs/fuse kio_pcs: increment PCS_FAST_PATH_VERSION to 1.1
match  e2285f041980  c05f0c1e49fd  fuse kio: Check returned FUSE_SETATTR size
match  3cbb2cd15ea4  bfc20fbbc785  fs/fuse kio_pcs: enable traces for cs sync
match  fc9b27e35a5e  30f05f0b8585  fs/fuse kio_pcs: replace pr_info() with ktrace for ireq fatal error
match  fad6cddb7b6a  c2f2723025e8  fuse: Teach fuse_blocked_for_wb() handle no files case
match  9028467604b2  8f0173f831ca  fuse kio: error PCS_ERR_CSD_LACKING is non-fatal
match  7620bdcd85bf  312d4cb276bd  fs/fuse kio_pcs: fix grow work execution with zero
ok     73deb66a0bf8  e6cd258f69eb  fuse kio: Make KIO to require writeback_cache
match  055b0c7037dc  58d75320515a  fuse: Refactor fuse_open_common()
ok     6c4ff1993b33  56258f26de58  fuse kio: Read file attributes every first open
match  3c638cbf8a79  eaba51a904a2  fuse kio: missing local client ID initialization
match  f8b15fc67f39  083d17e76b91  fs/fuse kio_pcs: bugs in integrity protocol for fallocate
match  076d50ae8aab  33e3cfeab2a4  fuse kio: Fix NULL pointer dereference in pcs_map_get_locked()
match  ad4afbd8800e  c52490262c01  fs/fuse kio_pcs: fix NULL pointer dereference inside a dead map
ok     7bc032cc24e3  b17d112cbefc  fuse kio: Make struct fuse_inode::num_openers int
match  e23751557923  fb38aaf6f695  fuse kio: logging improvements
match  bf3334566d4b  5023eecadec5  fuse kio: avoid spurious uncork setsockopt on unix socket
match  4f645d7db6bd  206a78bc3aee  fuse kio: control internal tracing with module parameter pcs_loglevel
match  9e3195fa9c5c  1c81104105c8  fs/fuse: add non-blocking request flag
match  438b96ce6286  949ad39b6f5f  fs/fuse kio_pcs: throttle async KIO requests
match  ce0e2807abec  9a10beb5d129  fuse kio: kio must not fail when not being able to claim a file
match  d37c11269cf6  9d6e65d3a12a  fs/fuse kio_pcs: style fix in pcs_fuse_submit()
match  dd97bf93e960  669a09867969  fs/fuse kio_pcs: fix NULL pointer dereference in pcs_flushreq_complete()
match  1258c392038d  abf30ee5ecba  fuse kio: Allocate pcs_map from kmem_cache with SLAB_RECLAIM_ACCOUNT flag
match  3fc189afa671  cd7137dafbcb  fuse/kio: Add socket io fault injection
match  7cf8abf01dbc  564f55ce344b  fs/fuse kio_pcs: missed *msg_size setting in rpc_get_hdr()
match  d70c3cdf05f9  ac19c80511f7  fs/fuse kio_pcs: disable TRACE/DTRACE for release kernel
match  1e4846b7bf12  ebfa53e12760  fuse kio: Cleanup in pcs_fuse_submit()
match  1fbd06a76c22  a01830914aa1  fuse kio: Extract fiemap iteration from fiemap_worker() to separate function
match  32b6d74540c7  6c882e94454a  fuse kio: Move it variable from stack to struct fiemap_iterator
match  a7fed248f97c  5329ba0293dc  fuse kio: Kill fiemap_worker() thread
match  3206090989ee  e254dd3f4174  fuse kio: Move position advance in fiemap_process_one()
match  aa06d91da6c8  32ba082607ae  fuse kio: Move fiter ireq iocount assignment
match  422113c56883  79c16a992a19  fuse kio: Introduce fiemap_work
match  2aec54ddc91c  6fc6656da316  fuse kio: Async queueing of fiemap from work
match  dceddc21a0fb  0d9425f89ae7  fuse kio: Do not zero already zeroed fields in pcs_find_get_map()
match  02d53bb2ac78  de73cd0663da  fuse kio: Do not zero already zeroed fields in pcs_sockio_init
match  7053bc630c22  7aa1faaaad78  fs/fuse kio_pcs: improve rpc to cpu binding
match  cc2cda4e6679  6d30713ef249  fs/fuse kio_pcs: time slice for rpc rebinding
match  cc58d4f29dd6  0db3e1776d35  fs/fuse kio_pcs: fix race between req->end() and request_wait_answer()
match  7d530662532e  63d6c04f855b  fs/fuse kio_pcs: remove fuse destroy request
match  fc21078c01d5  6816bfa9cb76  fs/fuse kio_pcs: drop rpc connection close in pcs_rpc_engine_fini()
match  96507c382648  5235c1461057  fuse kio: Add schedule_timeout() into pcs_rpc_fini_verify()
match  5493c0dc328d  6de831afe01b  fuse kio: Do not get useless fuse.ko module reference
ok     e496d21f9c89  5d3982bb731d  fuse kio: Refactoring in fuse_show_options()
ok     32e0df968368  b991fccb967c  fuse kio: Introduce cached_op
match  f1e3dfc9bcae  e18f18daaae3  fuse kio: Reorder process_pcs_init_reply() and free memory on failure
match  6842ad9adad8  caeff58c9358  fuse kio: Fallback to plain fuse in case of version mismatch
match  f48690cfdcb1  e8d3dc867148  fuse kio: Protect struct pcs_rpc_engine::{unhashed, ht, nrpcs}
match  755dcfca4040  ed8ed8bbc80c  fuse kio: Add debug printk into process_pcs_init_reply()
match  fd84ebcdbeff  e926dc3d6194  fs/fuse kio_pcs: split kpcs_req_send()
match  c4d2fbe28b9b  b82eb361aeb3  fs/fuse kio_pcs: prevention of falling kio reqs to usermode
match  8a0d85f8e2af  f45aa2384fb5  fs/fuse kio_pcs: fix double free of synchronous requests
match  3653220fb29d  1116f4b91726  fuse kio: Fix deadlock in kpcs_req_send()
match  3a75facccfe4  6f89446dbfcc  fuse kio: Return possibility to handle files served in userspace
match  bded2609f77f  630fc5f05fdd  fuse kio: Fix spelling in process_pcs_init_reply()
ok     7135c3e8743c  8aba5c76afbf  fuse kio: Do not try to populate fuse_inode::private on second open
match  fd9b9a72701c  2efadecca972  fuse kio: Differ fuse_pcs_kdirect_claim_op() return values
match  6fd87bc986aa  9af2e27465d2  fuse kio: Refactoring in struct pcs_rpc
match  e32c1fb2fd02  df588f633d46  fuse kio: Port "ignore uninitialized CS addresses" commit
match  4d7cf5bc872e  8a31d89e508d  fuse kio: Use __maybe_unused
match  eb3ba41a9a67  46e1debbd111  fuse kio: Use sio eof instead of parent to determ abort
match  fed556812817  900ffacc46f7  fuse kio: Reorder callback assignment
match  ab2a43517fc1  79cf374ddc8c  fuse kio: Add pcs_cleanup_wq
match  b46308fad696  25d86cc2d57f  fuse kio: Destroy rpc in work func
match  1c952121f9e6  d40bb6723830  fuse kio: Introduce pcs_sk_kick_queue()
match  bfb584e73d2d  41a3491f302d  fuse kio: Dereference sk_user_data under rcu
match  5bee62fb1a57  b884aed7587c  fuse kio: Fix rpc socket leak on rpc_abort()
match  627f0d28422d  39a057da9d21  fuse kio: Hold pcs_rpc counter till sio may be freed
match  924791c9c456  e4d759a119d0  fs/fuse kio_pcs: drop old mapping after size growth
match  60cbaa197690  240bf84c77ed  fuse kio: Stop self-abuse of rpc counter in rpc_queue_work()
match  7970d0ff6dba  9cbe86e81e1e  fuse kio: Check for null ep in pcs_rpc_deaccount_msg()
match  ac63e7cc46e2  43a5b82ef8c0  fuse kio: Move abort & destroy block up in pcs_rpc_send()
match  654c3c0520d2  eb532a419f1f  fs/fuse kio_pcs: flush rpc work inside pcs_rpc_destroy()
match  ae2eb60a07fc  9cb998ddc4e1  fuse kio: Fix deadlock at pcs_fuse_submit() error path
match  6c5c1f1f1114  fd9427fb94a5  fs/fuse kio_pcs: fix NULL pointer dereference in pcs_mapping_truncate()
match  36d09411c170  9cda2e9540c4  fuse kio: Unexport pcs_ioconn_close() and pcs_ioconn_unregister()
drop                 603f9fe7bfe5  fuse: Fix parse_fuse_opt() return values wrong interpretation
                                     (checked: https://jira.sw.ru/browse/PSBM-131964)
ok     6291227cf2ed  0c99f7b75f7e  fuse: Prohibit kio engine from containers
drop                 3e795511e087  fuse: Switch unused engines off in Kconfig
                                     (merged into: 6d41efd0c97b config.OpenVZ: enable modules for in-kernel fast path for vStorage)
match  8aa774427468  5a8f1cd8ebb9  fs/fuse kio_pcs: make map_truncate_tail() working as the original from libpcs_client
match  52805fde6120  cf58a68f59a0  fs/fuse kio_pcs: forgotten setting of the next phase
match  1c61e823bceb  d454507d1c2b  fs/fuse kio_pcs: fix condition for map resolving in pcs_mapping_truncate()
match  a320cf3e0754  cf1a71e72838  fs/fuse kio_pcs: protect valid_for_truncate() by m->lock's
match  6fc616ee2049  99de470769de  fs/fuse kio_pcs: fix map leak in pcs_mapping_truncate()
match  1707045db5dd  ae359333ee89  fs/fuse kio_pcs: simplify pcs_mapping_truncate()
match  b9aa6195312a  9a6e73d2a631  fs/fuse kio_pcs: fix map leaks in process_ireq_truncate()
match  eca7c1d0e402  a0007aff1aaa  fs/fuse kio_pcs: NULL pointer dereference on access m->mapping->chunk_size_bits
match  3619e454ff37  e0b4dd3f6d7f  fs/fuse kio_pcs: NULL pointer dereference in map_submit()->MAP_ARGS()
match  fd319a88793d  2fd199c5972d  fs/fuse kio_pcs: cleanup in truncate (backport)
match  141e511f49ce  94a2641bbb53  fs/fuse kio_pcs: add assert on i_mutex for PUNCH_HOLE and ZERO_RANGE
match  7df2ae57cb0d  870626ec2503  fs/fuse: add assert on i_mutex in fuse_send_write()
match  0e96f963da61  d69b7fc7232a  fs/fuse kio_pcs: make pcs_map_truncate() easier
match  39728f593eea  6ab4a14ff4a3  fs/fuse kio_pcs: cleanup kpcs_setattr_end()
match  aeb5c97143d9  76f5a3b5c6fa  fs/fuse kio_pcs: invalidation maps in setattr kio
match  91b4c20a3030  c3e1d4bbb78c  fs/fuse kio_pcs: fix update cs state after receiving new map
match  e500889393c0  d5aa77bd243c  fs/fuse kio_pcs: replenish netaddr_cmp() with rdma type
match  9c7992ea9016  d8652676df47  fuse kio: Round down extent start in fiemap_process_one()
match  ccda569a22ff  a69fb34222dd  fuse kio: fix timer setup so it actually delays ireq
match  5f1d8ad8c263  d77c0fb5d6fe  fuse kio: never ignore fuse_req error during PCS_IOC_GETMAP
match  a3797d580a15  019c3fca7982  fs/fuse kio: fix loss of FUSE_FSYNC/FUSE_FLUSH reqs
match  6155d47e52ee  74e19154d698  fs/fuse kio: fix sreq and msg leak in prepare_map_flush_ireq()
match  001e84efa89e  a29896388a42  fs/fuse kio: retry allocation PCS_IREQ_FLUSH request
match  36b2a0441783  5e36b01813ec  fs/fuse kio: missed clean di->size.op in failed shrink request
match  7b759f6feb2f  bb1ca5835e96  fs/fuse kio: missed cleanup for interrupted shrink request
match  29c09258cf0b  781205cd35bf  fuse: do not wait for completion of inessential writes in fuse fsync
match  deeffcdce01b  ecf647799c0d  fs/fuse kio: fix mapping dereference in a dead map
match  e0a0faf4f851  35e718e67cba  fs/fuse kio: satisfy pure FALLOC_FL_KEEP_SIZE immediately
match  40a568e1406c  28f2b8491249  fs/fuse kio: backport immediate-write attribute handle
match  05f9b1d21ca0  4e20050f81e2  fs/fuse kio: add support PCS_CS_IO_SYNC flag
match  96606f14e6d9  39d8ce21e007  fs/fuse kio: deny unavailable ioctl's in kio
match  6519244f029f  122c5d189911  fs/fuse kio: bring fuse ktraces to a common view
match  e19a341053e8  7628e72c1e9d  fs/fuse kio: disable duplication FUSE_K* messages to debugfs by default
match  6f85f4c0e16e  7278b2ddba4a  fs/fuse kio: make it possible to enable TRACE/DTRACE in the release kernel
match  d7ff8e904b37  0c2c3beaca5a  fs/fuse kio: invalidate files for kio
match  3739f7514bf7  3c3ad2a805e4  fs/fuse kio: add FUSE_S_FAIL_IMMEDIATELY check in pcs_fuse_submit()
match  9d1d3eaad7e2  514c252c7667  fs/fuse: fix unsafe killing fiq->pending requests
match  ced71c1ae608  96a9d3b4e2ff  fs/fuse kio: fix double free of pfc in process_pcs_init_reply()
match  3792619b9f0c  20e8eb826fde  fs/fuse kio: fix getting a non-existent pcs inode in kpcs_kill_requests()
match  d85a60d2daa8  7274c453958e  ms/fuse: Wake up req->waitq of only if not background
match  df9cea53f158  af9409ba9230  fs/fuse kio: export fastpath protocol version
match  df999b510e33  bafa2d53672c  fs/fuse kio: fix a typo in worth_to_grow()
match  db8c5b8e4548  d04d3f3f96f5  fs/fuse kio: relax congestion avoidance limits (backport from usermode)
match  ffa87102ecd0  ea4f10b1a348  fs/fuse kio: add missed sock write in pcs_sock_sendmsg()
match  4bfb0c6d9784  dbcef7e91bdf  fs/fuse kio: export io_locality
match  8129cebae67b  dd635a3fd723  fs/fuse kio: sync pcs_mds_sys_info struct
match  f32dcdd552f4  3d4029199d26  fs/fuse kio: add warning about jumbo chunks
match  b64973d990cf  b9a24ef5e956  fuse: do not take fc->lock in fuse_request_send_background() - fixup
match  a4bc35210706  660b04b42599  fs/fuse kio: forward fuse_file pointer to kpcs_req_send()
